,Unnamed: 0,tmax,ntol,williamson,dumpt,dt,coords_degree,ref_level,rk_stages,pcscheme,rk_type,vector_invariant,directory,ncpus,diagnostics,First Step Time,Time,Iterations per timestep,Elevation error,Velocity error
10,10,86400,1e-05,6,86400000,3600,1,6,3,mg,GaussLegendre,Y,irk_data_0x5c505df9ff3df600,16,N,36.508,330.668,4.0,0.0001918295295563509,7.933750361859041e-05
11,11,86400,1e-05,6,86400000,3600,1,6,3,mg,RadauIIA,Y,irk_data_0xc61d768d04b19,16,N,35.273,323.613,4.0,0.0006626376701466977,0.0003478403526610969
12,12,86400,1e-05,6,86400000,2400,1,6,1,mg,GaussLegendre,Y,irk_data_0xed6adb18838173d,16,N,10.92,96.95100000000001,4.0,0.010779337577018667,0.005296168450278931
13,13,86400,1e-05,6,86400000,2400,1,6,1,mg,RadauIIA,Y,irk_data_0x61404c6865829201,16,N,12.124,109.99799999999999,4.638888888888889,0.009183904152076853,0.007644455701467505
14,14,86400,1e-05,6,86400000,2400,1,6,2,mg,GaussLegendre,Y,irk_data_0x2c26aef21c6ed73d,16,N,20.393,245.353,4.0,0.0008857216738024132,0.0003682042436501911
15,15,86400,1e-05,6,86400000,2400,1,6,2,mg,RadauIIA,Y,irk_data_0x503c517deba042d5,16,N,21.115,246.905,4.0,0.002511668508238144,0.0014197261878863582
16,16,86400,1e-05,6,86400000,2400,1,6,3,mg,GaussLegendre,Y,irk_data_0x6869eee65c960c25,16,N,36.536,479.576,4.0,2.3846993406447006e-05,9.744160498282574e-06
17,17,86400,1e-05,6,86400000,2400,1,6,3,mg,RadauIIA,Y,irk_data_0x367da0dbc7d312e9,16,N,38.395,478.955,4.027777777777778,0.00013205393963876377,6.704300545226196e-05
18,18,86400,1e-05,6,86400000,1200,1,6,1,mg,GaussLegendre,Y,irk_data_0x3d330edb7eacba40,16,N,10.449,146.829,3.0277777777777777,0.005606246190488718,0.0025364798467329666
19,19,86400,1e-05,6,86400000,1200,1,6,1,mg,RadauIIA,Y,irk_data_0x7c35b0c316b24612,16,N,10.281,188.33100000000002,4.0,0.00792105813457402,0.00551490714444736
20,20,86400,1e-05,6,86400000,1200,1,6,2,mg,GaussLegendre,Y,irk_data_0x53a024ad97315e95,16,N,20.612,480.982,4.0,6.709325111543757e-05,2.643063349184732e-05
21,21,86400,1e-05,6,86400000,1200,1,6,2,mg,RadauIIA,Y,irk_data_0x545a1039d1ca739,16,N,20.989,480.01899999999995,4.0,0.0006115615338979533,0.0003357002769740312
22,22,86400,1e-05,6,86400000,1200,1,6,3,mg,GaussLegendre,Y,irk_data_0x19c1b5f5850d1b09,16,N,35.683,934.383,4.0,2.4338861956438637e-06,1.0715397794322903e-06
23,23,86400,1e-05,6,86400000,1200,1,6,3,mg,RadauIIA,Y,irk_data_0x3379b9800844655a,16,N,35.34,933.6600000000001,4.0,5.20493737313232e-06,2.6043840083869145e-06
24,24,86400,1e-05,6,86400000,600,1,6,1,mg,GaussLegendre,Y,irk_data_0x4012e333b0505dff,16,N,10.06,231.04,2.423611111111111,0.0018073779561727718,0.0007396691212766034
25,25,86400,1e-05,6,86400000,600,1,6,1,mg,RadauIIA,Y,irk_data_0x6552dcb3f44f2244,16,N,10.165,283.235,3.0208333333333335,0.006898947085423865,0.0045636818536940425
26,26,86400,1e-05,6,86400000,600,1,6,2,mg,GaussLegendre,Y,irk_data_0x4b2cc9cfb0bdccac,16,N,19.075,705.0550000000001,2.8819444444444446,4.480109310218754e-06,1.7769536995074616e-06
27,27,86400,1e-05,6,86400000,600,1,6,2,mg,RadauIIA,Y,irk_data_0x53b157887f5af216,16,N,20.684,739.084,3.0416666666666665,9.214005362294923e-05,4.944860383940282e-05
28,28,86400,1e-05,6,86400000,600,1,6,3,mg,GaussLegendre,Y,irk_data_0x1c4e1e8152982263,16,N,32.723,1403.923,2.9583333333333335,3.5216778909316344e-07,1.6102763815903082e-07
29,29,86400,1e-05,6,86400000,600,1,6,3,mg,RadauIIA,Y,irk_data_0x54c2124adf2798b6,16,N,35.256,1502.256,3.1666666666666665,3.7316528714682284e-07,1.7560432805787415e-07
30,30,86400,1e-05,6,86400000,300,1,6,1,mg,GaussLegendre,Y,irk_data_0x6eac4ca6981f5f2f,16,N,9.5952,377.99519999999995,2.0,0.0004760371136003839,0.0001848190513017717
31,31,86400,1e-05,6,86400000,300,1,6,1,mg,RadauIIA,Y,irk_data_0x6717111f7cc7f782,16,N,9.7828,520.2128,2.8055555555555554,0.005643417109004007,0.0036086787350509066
32,32,86400,1e-05,6,86400000,300,1,6,2,mg,GaussLegendre,Y,irk_data_0x3c654edc3380af66,16,N,17.982,977.322,2.0,4.621561306363481e-07,2.0271813931814476e-07
33,33,86400,1e-05,6,86400000,300,1,6,2,mg,RadauIIA,Y,irk_data_0x672c713c9a4231fb,16,N,17.438,966.1179999999999,2.0,1.1952942511177635e-05,6.360715815599955e-06
34,34,86400,1e-05,6,86400000,300,1,6,3,mg,GaussLegendre,Y,irk_data_0x1e68cb86548111d0,16,N,30.095,1918.4950000000001,2.0,4.027284445343192e-08,3.003814517448622e-08
35,35,86400,1e-05,6,86400000,300,1,6,3,mg,RadauIIA,Y,irk_data_0x10a598b1a0f3f0a0,16,N,29.515,1923.615,2.0,9.45494522303699e-08,4.95565695673551e-08
