,Unnamed: 0,tmax,ntol,williamson,dumpt,dt,coords_degree,ref_level,rk_stages,pcscheme,rk_type,vector_invariant,directory,ncpus,diagnostics,First Step Time,Time,Iterations per timestep,Elevation error,Velocity error
0,0,86400,1e-05,6,86400000,7200,1,6,1,mg,GaussLegendre,Y,irk_data_0x77fdad92bb3ab194,16,N,12.829,77.57900000000001,9.75,0.013664219230510189,0.006148574527287713
1,1,86400,1e-05,6,86400000,7200,1,6,1,mg,RadauIIA,Y,irk_data_0x40c7bd07d9dfd2cf,16,N,23.428,179.698,24.416666666666668,0.015542866303460875,0.01867426646580386
2,2,86400,1e-05,6,86400000,7200,1,6,2,mg,GaussLegendre,Y,irk_data_0x546902d1e7f99aaa,16,N,25.366,149.726,7.166666666666667,0.009350522814484343,0.004103030229746244
3,3,86400,1e-05,6,86400000,7200,1,6,2,mg,RadauIIA,Y,irk_data_0x2e49801278a82662,16,N,31.111,204.96099999999998,10.333333333333334,0.0067911002239636935,0.004583490087806098
4,4,86400,1e-05,6,86400000,7200,1,6,3,mg,GaussLegendre,Y,irk_data_0x2230502a10ccadc5,16,N,45.101,298.611,6.583333333333333,0.003334419109919333,0.0015508834681789005
5,5,86400,1e-05,6,86400000,7200,1,6,3,mg,RadauIIA,Y,irk_data_0x68d6c2c6ed0c0859,16,N,50.963,343.803,8.25,0.0034134492956175385,0.0018879826061208205
6,6,86400,1e-05,6,86400000,3600,1,6,1,mg,GaussLegendre,Y,irk_data_0x2a50d97528202b16,16,N,10.369,69.583,4.125,0.009148931836461531,0.008056323218831972
7,7,86400,1e-05,6,86400000,3600,1,6,1,mg,RadauIIA,Y,irk_data_0xa1032e5e7e1db24,16,N,12.708,115.288,7.375,0.010578575744490174,0.01021968864730871
8,8,86400,1e-05,6,86400000,3600,1,6,2,mg,GaussLegendre,Y,irk_data_0x56324d13fecae383,16,N,20.645,168.815,4.0,0.0030739645011802607,0.0013759795945661422
9,9,86400,1e-05,6,86400000,3600,1,6,2,mg,RadauIIA,Y,irk_data_0x1989c1f44e3f18a0,16,N,23.569,197.469,4.75,0.004202611512161566,0.002542916166929426
