,Unnamed: 0,tmax,ntol,williamson,dumpt,dt,coords_degree,ref_level,rk_stages,pcscheme,rk_type,stage_type,vector_invariant,directory,ncpus,diagnostics,First Step Time,Time,Iterations per timestep,Elevation error,Velocity error
26,26,86400,1e-06,6,86400000,600,1,6,2,mg,GaussLegendre,deriv,Y,irk_data_0x2980630ee2bbed79,16,N,19.256,731.586,3.0069444444444446,4.485859371617637e-06,1.7785350877998317e-06
27,27,86400,1e-06,6,86400000,600,1,6,2,mg,RadauIIA,deriv,Y,irk_data_0x57afa57bd7ebf511,16,N,20.72,946.53,4.0,9.214048989327453e-05,4.944782814351467e-05
28,28,86400,1e-06,6,86400000,600,1,6,3,mg,GaussLegendre,deriv,Y,irk_data_0x45dbe2a3ea2e93a9,16,N,32.841,1436.041,3.0069444444444446,3.494995492576208e-07,1.5656852801850758e-07
29,29,86400,1e-06,6,86400000,600,1,6,3,mg,RadauIIA,deriv,Y,irk_data_0x422b831f29fb5b9c,16,N,35.266,1850.9660000000001,4.0,3.729915987526273e-07,1.7538027029162574e-07
30,30,86400,1e-06,6,86400000,300,1,6,1,mg,GaussLegendre,deriv,Y,irk_data_0x209827063db26e50,16,N,10.49,385.39,2.0034722222222223,0.0004760371121680063,0.0001848190653099169
31,31,86400,1e-06,6,86400000,300,1,6,1,mg,RadauIIA,deriv,Y,irk_data_0x1f01e3ae267b4995,16,N,9.9211,555.3611000000001,3.0,0.00564341707493463,0.003608674703229747
32,32,86400,1e-06,6,86400000,300,1,6,2,mg,GaussLegendre,deriv,Y,irk_data_0x736a61518a33fc23,16,N,18.473,980.913,2.0,4.621561305429706e-07,2.0271813927274313e-07
33,33,86400,1e-06,6,86400000,300,1,6,2,mg,RadauIIA,deriv,Y,irk_data_0xc64d6cd54ef9185,16,N,19.649,1441.149,3.0,1.1955727811224243e-05,6.359321154946757e-06
34,34,86400,1e-06,6,86400000,300,1,6,3,mg,GaussLegendre,deriv,Y,irk_data_0x2a4b0757c0652969,16,N,32.483,1967.483,2.045138888888889,3.997973858412391e-08,2.8961520748426372e-08
35,35,86400,1e-06,6,86400000,300,1,6,3,mg,RadauIIA,deriv,Y,irk_data_0x1d485d2b78fd5d64,16,N,32.806,2143.006,2.2465277777777777,9.411187648823758e-08,4.6514223410767957e-08
