,Energy,Divergence
0,-4.105058662698653e-12,7.793732436495032
1,-1.6745383658476404e-11,14.317622851369865
2,-2.4115148129999214e-11,13.743782593458716
3,-3.365858616008943e-11,10.24332290480235
4,-3.24549055117157e-11,9.930455768261353
5,-3.692727766637094e-11,10.366954727767014
6,-4.3308169608293055e-11,10.607433021530275
7,-4.796640113120339e-11,10.59377996551195
8,-5.5102058317783e-11,10.62136827903495
9,-6.084439956390088e-11,10.625710253047165
10,-6.516258815718376e-11,10.664409027333528
11,-6.896137743269479e-11,10.63504887831762
12,-7.321390690388479e-11,10.627767473712707
13,-7.596215022484227e-11,10.661797948650069
14,-7.739930883807474e-11,10.583992907911378
15,-7.792143521208475e-11,10.606622888984361
16,-7.710877246683999e-11,10.61635612616211
17,-7.515431227132514e-11,10.582943935059921
18,-7.185415473180836e-11,10.554459656469154
19,-6.651835463173055e-11,10.547429345388812
20,-5.990251630989368e-11,10.512041578036616
21,-5.181847288910353e-11,10.743018279644218
22,-3.978481300835782e-11,9.969800622355258
23,-3.8617632958229946e-11,10.808795356633208
24,-2.6147434313557917e-11,10.798314304075298
25,-3.5434109514544916e-11,9.809456075549411
26,-2.820405422929811e-11,10.720561944797812
27,-2.5825222135817257e-11,10.45384871509285
28,-3.010145601815404e-11,10.427675173224092
29,-3.132884107803583e-11,10.397013101615563
30,-3.1079630096811937e-11,10.387300266046902
31,-3.1162280876780117e-11,10.407649322055208
32,-3.1913270197303795e-11,10.410638999381469
33,-3.321386622726367e-11,10.393266468864386
34,-3.4407477745084654e-11,10.389336943482453
35,-3.5270695916586143e-11,10.396487567943407
36,-3.663569242739361e-11,10.400694399597409
37,-3.901641248290489e-11,10.428974253102787
38,-4.173780478886184e-11,10.485591286252099
39,-4.4734629770217214e-11,10.38683701879537
40,-4.797353343201307e-11,9.796711107534712
41,-5.3954806755176066e-11,9.021899798334283
42,-6.420665007510184e-11,9.82515017062659
43,-7.363639084010305e-11,12.018252509084089
44,-7.96222791817443e-11,12.240216254188104
45,-9.31692454765542e-11,9.795231835153826
46,-1.1508638632004722e-10,8.452322427886415
47,-1.395883568878162e-10,9.838106419114997
48,-1.5541115646368134e-10,12.66648640151174
49,-1.581499599751934e-10,9.646282168403582
50,-1.7171454725060627e-10,9.086571520187093
51,-1.7273467604019683e-10,9.231831190379152
52,-1.834545241599314e-10,11.585893960864007
53,-1.9448148076190824e-10,12.35462713610537
54,-1.9959135474645887e-10,10.760438886812473
55,-2.0284221550179543e-10,8.861672717895965
56,-2.0801648996729245e-10,9.326797530121608
57,-2.169566192616111e-10,10.482851316618516
58,-2.2675052691802316e-10,10.701082005736666
59,-2.3456375268432596e-10,10.40998056674876
60,-2.4181961011961354e-10,10.394302722088273
61,-2.498782709435251e-10,10.369408904044905
62,-2.5762793532353523e-10,10.198440652027001
63,-2.6565387147338407e-10,10.206120050586808
64,-2.7443625105663605e-10,10.260285183985262
65,-2.8393521709819924e-10,10.275337933753237
66,-2.9356759911986004e-10,10.32920836083301
67,-3.033327678009661e-10,10.324870137593889
68,-3.1194753831576395e-10,10.236641558218757
69,-3.2071942922216205e-10,10.177846546644659
70,-3.275488170247532e-10,10.5707974659578
71,-3.336817566303295e-10,9.7336252557707
72,-3.42798305485262e-10,10.491075138498406
73,-3.5114708313508813e-10,10.411407361063018
74,-3.6003455927007343e-10,9.900066738704313
75,-3.7617726352179397e-10,10.746914777082702
76,-3.8580146437665046e-10,10.168839213413426
77,-4.02035000577814e-10,10.37201951868543
78,-4.149270538477073e-10,10.245734433170782
79,-4.2695295211600645e-10,10.359507279492032
80,-4.395913891604936e-10,10.157638186190812
81,-4.53939690439029e-10,10.023221502137945
82,-4.664961060248183e-10,9.765576371490498
83,-4.79690442986833e-10,9.789068872991448
84,-4.917354306500503e-10,10.494594404815023
85,-5.037363658673402e-10,11.09734382047459
86,-5.122210767824701e-10,11.250775102942043
87,-5.227468843725651e-10,9.862328301679609
88,-5.34615032931278e-10,8.943309159927534
89,-5.488922209779255e-10,9.809939581482768
90,-5.579326220368834e-10,11.695228613829773
91,-5.645698572677612e-10,11.673291573433309
92,-5.754843752534954e-10,10.109400445069369
93,-5.87318960044908e-10,9.273884738190972
94,-5.986540740058195e-10,10.509117536846182
95,-6.102375598542867e-10,10.576606248095407
96,-6.251428099221762e-10,9.911839396346508
97,-6.372089847177983e-10,10.85931465456665
98,-6.447952355056538e-10,9.568765411863101
99,-6.513393312799399e-10,10.953790419184033
100,-6.661185074434102e-10,10.605856976309258
101,-6.771045582131012e-10,10.574063353564602
102,-6.883278628720357e-10,9.654127395375644
103,-6.968979516265717e-10,10.543431005947859
104,-7.067845792030327e-10,11.741106060043114
105,-7.228427447238842e-10,11.17517409277448
106,-7.369202283529602e-10,9.46613797362231
107,-7.471456402191459e-10,9.205745311138426
108,-7.596212929941915e-10,10.655408817632312
109,-7.763908006367643e-10,11.318559807679861
110,-7.923919077532889e-10,10.692821016472504
111,-8.050179681673541e-10,10.137554645354772
112,-8.170835136466563e-10,10.350393657979174
113,-8.301702367849493e-10,10.568478883658832
114,-8.438602686636222e-10,10.501907410273883
115,-8.57593723668258e-10,10.548692641518134
116,-8.724028974559855e-10,10.723901234906464
117,-8.880532631939996e-10,10.544309767943611
118,-9.02710141382727e-10,10.377913982559285
119,-9.168818133424292e-10,10.885241789971039
120,-9.306742147176312e-10,10.10796581651239
121,-9.431429449699873e-10,10.852858008145256
122,-9.570826073805459e-10,10.258349255758834
123,-9.709457024444245e-10,10.450111806699548
124,-9.825031763808679e-10,10.757137953797352
125,-9.99235763885478e-10,10.842379897261576
126,-1.0087523509193157e-09,11.0655919004006
127,-1.0208384542117904e-09,11.22591099521175
128,-1.0320774918949635e-09,10.892118454272742
129,-1.0420314567887714e-09,10.291222797390995
130,-1.0549868616883682e-09,9.94273712734715
131,-1.0680861712461071e-09,10.654207263122007
132,-1.0784424818165481e-09,11.81380755190358
133,-1.0874707160189682e-09,11.974239622937548
134,-1.097552852555169e-09,10.74046120633219
135,-1.1108894160032258e-09,9.655948703782155
136,-1.1245786087953701e-09,10.360874176699422
137,-1.1370131459633114e-09,11.682423205415859
138,-1.1491294566506175e-09,11.61701488162014
139,-1.1624538532339359e-09,10.704075662037438
140,-1.1756530150060509e-09,10.489522068292692
141,-1.1878330968546194e-09,11.119866309418033
